"PUBLIC TRANSPORT STATISTICS OF KISUMU COUNTY, KENYA DATA PORTAL ",,,,,,,,
Time,Road Transport,"PanelVans,Pick-ups",MiniBuses/Matatu,Total Motor Cycles,Matatus (0-14 seaters),Buses ( 34 and above seaters),Mini Buses1 (15-33 seaters),Buses and Coaches 
Units,KSh millions,Number,Number,Number,Number,Number,Number,Number 
2013," 46,689 "," 511 "," 71 "," 9,777 "," 1,288 "," 490 "," 331 "," 45 "
2014," 53,370 "," 556 "," 68 "," 12,000 "," 1,620 "," 610 "," 376 "," 50 "
2015," 57,469 "," 627 "," 64 "," 14,595 "," 1,865 "," 734 "," 424 "," 52 "
2016," 65,504 "," 681 "," 63 "," 17,592 "," 2,044 "," 814 "," 429 "," 62 "
2017," 78,713 "," 803 "," 57 "," 21,182 "," 2,175 "," 898 "," 488 "," 67 "
2018," 87,338 "," 836 "," 52 "," 24,597 "," 2,525 "," 903 "," 586 "," 74 "
2019," 93,301 "," 777 "," 121 "," 29,303 "," 3,334 "," 638 "," 540 "," 87 "
2020," 81,309 "," 399 "," 62 "," 28,033 "," 2,161 "," 461 "," 389 "," 53 "
2021," 108,257 "," 384 "," 50 "," 37,001 "," 2,090 "," 778 "," 749 "," 55 "
2022," 142,726 "," 776 "," 57 "," 18,238 "," 815 "," 860 "," 846 "," 151 "
2023," 147,003 "," 1,030 "," 63 "," 10,012 "," 1,034 "," 963 "," 907 "," 121 "
2024," 165,934 "," 427 "," 54 "," 9,461 "," 904 "," 429 "," 808 "," 69 "
