"PUBLIC TRANSPORT STATISTICS OF MOMBASA COUNTY, KENYA DATA PORTAL ",,,,,,,,
Time ,Road Transport,"PanelVans,Pick-ups",MiniBuses/Matatu,Total Motor Cycles,Matatus(0-14 seaters),Buses (34 and above seaters),Mini Bues(15-33 seaters),Buses and Coaches
Units,Ksh Millions,Number,Number,Number,Number,Number,Number ,Number
2013,124439,964,213,5094,2548,1185,603,133
2014,127415,1075,177,5708,3206,1430,675,138
2015,144438,1116,177,7112,3626,1581,724,148
2016,165859,1258,160,7980,3967,1716,737,174
2017,185801,1367,136,8791,4870,1992,820,178
2018,186489,1416,128,10465,4867,2043,935,204
2019,218875,1216,300,12903,6091,1354,1020,251
2020,175183,598,127,10747,3797,920,556,128
2021,220486,679,111,14798,4003,1577,1265,153
2022,325062,1350,155,7893,1711,1960,1608,407
2023,340748,1634,152,4182,2028,2026,1642,329
2024,361099,706,139,3780,1632,900,1351,181
