"PUBLIC TRANSPORT STATISTICS OF NAIROBI COUNTY, KENYA DATA PORTAL ",,,,,,,,
Time ,Road Transport,"PanelVans,Pick-ups",MiniBuses/Matatu,Total Motor Cycles,Matatus(0-14 seaters),Buses (34 and above seaters),Mini Bues(15-33 seaters),Buses and Coaches
Units,Ksh Millions,Number,Number,Number,Number,Number,Number ,Number
2013,275844,2137,463,6865,8223,1986,1561,213
2014,299903,2353,423,8284,8980,2202,1662,240
2015,319046,2737,409,9221,11262,2654,1753,247
2016,383817,2835,339,10894,12721,2929,2008,281
2017,403953,3210,317,13588,14015,3164,2229,297
2018,451502,2970,275,15225,13284,3212,2245,311
2019,508183,2863,679,16452,17777,2407,2425,412
2020,415848,1536,320,16928,12860,1656,1551,243
2021,565078,1645,264,19813,11203,2752,3219,268
2022,781794,3134,340,11776,5122,3056,3664,664
2023,801132,3630,351,6222,5537,3105,3995,560
2024,778559,1557,290,5589,5027,1466,3167,299
