"PUBLIC TRANSPORT STATISTICS OF UASIN GISHU COUNTY, KENYA DATA PORTAL ",,,,,,,,
Time,Road Transport,"PanelVans,Pick-ups",MiniBuses/Matatu,Total Motor Cycles,Matatus (0-14 seaters),Buses ( 34 and above seaters),Mini Buses1 (15-33 seaters),Buses and Coaches 
Units,KSh millions,Number,Number,Number,Number,Number,Number,Number 
2013," 38,808 "," 585 "," 60 "," 5,397 "," 923 "," 442 "," 265 "," 39 "
2014," 43,317 "," 672 "," 55 "," 6,412 "," 1,049 "," 519 "," 286 "," 41 "
2015," 49,133 "," 717 "," 54 "," 8,171 "," 1,278 "," 573 "," 299 "," 45 "
2016," 56,592 "," 793 "," 52 "," 9,483 "," 1,446 "," 658 "," 335 "," 46 "
2017," 60,311 "," 857 "," 47 "," 10,409 "," 1,564 "," 753 "," 373 "," 55 "
2018," 68,810 "," 870 "," 41 "," 12,177 "," 1,707 "," 822 "," 412 "," 58 "
2019," 74,356 "," 869 "," 98 "," 14,038 "," 2,080 "," 566 "," 430 "," 77 "
2020," 73,711 "," 483 "," 52 "," 16,094 "," 1,609 "," 423 "," 310 "," 47 "
2021," 92,809 "," 482 "," 43 "," 19,895 "," 1,424 "," 694 "," 624 "," 50 "
2022," 118,308 "," 901 "," 47 "," 8,999 "," 538 "," 704 "," 659 "," 120 "
2023," 127,285 "," 1,041 "," 49 "," 5,078 "," 693 "," 745 "," 697 "," 105 "
2024," 129,170 "," 463 "," 44 "," 4,877 "," 593 "," 371 "," 652 "," 58 "
